timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T01:38:36.297566+00:00,mistralai/mistral-nemo,53,abdefect,Please tell me whether or not you think it should ...,1,1,182,1,183,,1
2026-04-27T01:38:36.530775+00:00,mistralai/mistral-nemo,53,premarsx,If a man and woman have sexual relations before ma...,1,3,195,2,197,,3
2026-04-27T01:38:36.533772+00:00,mistralai/mistral-nemo,53,homosex,What is your opinion about sexual relations betwee...,1,4,199,2,201,,4
2026-04-27T01:38:36.560258+00:00,mistralai/mistral-nemo,53,cappun,Do you favor or oppose the death penalty for perso...,1,2,162,2,164,,2
2026-04-27T01:38:36.567336+00:00,mistralai/mistral-nemo,53,gunlaw,Would you favor or oppose a law which would requir...,1,2,176,1,177,,2
2026-04-27T01:38:36.580340+00:00,mistralai/mistral-nemo,53,abhlth,Please tell me whether or not you think it should ...,1,1,180,2,182,,1
2026-04-27T01:38:36.580355+00:00,mistralai/mistral-nemo,53,abpoor,Please tell me whether or not you think it should ...,1,1,182,2,184,,1
2026-04-27T01:38:36.646230+00:00,mistralai/mistral-nemo,53,xmarsex,What is your opinion about a married person having...,1,2,202,1,203,,2
2026-04-27T01:38:36.805570+00:00,mistralai/mistral-nemo,53,abrape,Please tell me whether or not you think it should ...,1,1,177,2,179,,1
2026-04-27T01:38:36.992237+00:00,mistralai/mistral-nemo,53,pornlaw,Which of these statements comes closest to your fe...,1,2,255,2,257,,2
2026-04-27T01:38:37.017852+00:00,mistralai/mistral-nemo,53,fechld,To what extent do you you agree or disagree that: ...,1,2,196,2,198,,2
2026-04-27T01:38:37.036778+00:00,mistralai/mistral-nemo,53,affrmact,Some people say that because of past discriminatio...,1,2,221,2,223,,2
2026-04-27T01:38:37.055079+00:00,mistralai/mistral-nemo,53,grass,Do you think the use of marijuana should be made l...,1,1,165,2,167,,1
2026-04-27T01:38:37.248358+00:00,mistralai/mistral-nemo,53,immjobs,There are different opinions about immigrants from...,1,2,223,2,225,,2
2026-04-27T01:38:37.264891+00:00,mistralai/mistral-nemo,53,fefam,Please read the following statement and indicate w...,1,4,211,1,212,,4
2026-04-27T01:38:37.505395+00:00,mistralai/mistral-nemo,53,spkath,There are always some people whose ideas are consi...,1,1,212,2,214,,1
2026-04-27T01:38:37.517594+00:00,mistralai/mistral-nemo,53,eqwlth,Some people think that the government in Washingto...,1,4,315,2,317,,4
2026-04-27T01:38:37.528690+00:00,mistralai/mistral-nemo,53,colath,There are always some people whose ideas are consi...,1,1,198,1,199,,1
2026-04-27T01:38:37.528713+00:00,mistralai/mistral-nemo,53,immameco,There are different opinions about immigrants from...,1,2,222,1,223,,2
2026-04-27T01:38:37.560174+00:00,mistralai/mistral-nemo,53,fepresch,Please read the following statement and indicate w...,1,3,195,2,197,,3
2026-04-27T01:38:37.578202+00:00,mistralai/mistral-nemo,53,spkrac,Consider a person who believes that Black people a...,1,2,194,1,195,,2
2026-04-27T01:38:37.655551+00:00,mistralai/mistral-nemo,53,immcrime,There are different opinions about immigrants from...,1,1,229,2,231,,1
2026-04-27T01:38:37.693052+00:00,mistralai/mistral-nemo,53,colrac,Consider a person who believes that Black people a...,1,2,180,2,182,,2
2026-04-27T01:38:37.907590+00:00,mistralai/mistral-nemo,53,conpress,I am going to name some institutions in this count...,1,2,206,1,207,,2
2026-04-27T01:38:38.028089+00:00,mistralai/mistral-nemo,53,consci,I am going to name some institutions in this count...,1,2,207,1,208,,2
2026-04-27T01:38:38.031163+00:00,mistralai/mistral-nemo,53,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,1,183,2,185,,1
2026-04-27T01:38:38.033128+00:00,mistralai/mistral-nemo,53,bible,Which of these statements comes closest to describ...,1,2,293,2,295,,2
2026-04-27T01:38:38.035107+00:00,mistralai/mistral-nemo,53,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,1,193,2,195,,1
2026-04-27T01:38:38.050281+00:00,mistralai/mistral-nemo,53,god,Tell me which statement comes closest to expressin...,1,3,350,2,352,,3
2026-04-27T01:38:38.334007+00:00,mistralai/mistral-nemo,53,natspac,"We are faced with many problems in this country, n...",1,1,241,1,242,,1
2026-04-27T01:38:38.556996+00:00,mistralai/mistral-nemo,53,natheal,"We are faced with many problems in this country, n...",1,1,243,2,245,,1
2026-04-27T01:38:38.557040+00:00,mistralai/mistral-nemo,53,natsci,"We are faced with many problems in this country, n...",1,1,238,2,240,,1
2026-04-27T01:38:38.615393+00:00,mistralai/mistral-nemo,53,natroad,"We are faced with many problems in this country, n...",1,1,239,2,241,,1
2026-04-27T01:38:38.779101+00:00,mistralai/mistral-nemo,53,natsoc,"We are faced with many problems in this country, n...",1,1,237,2,239,,1
2026-04-27T01:38:38.900046+00:00,mistralai/mistral-nemo,53,nataid,"We are faced with many problems in this country, n...",1,1,239,1,240,,1
2026-04-27T01:38:39.079306+00:00,mistralai/mistral-nemo,53,coneduc,I am going to name some institutions in this count...,1,2,203,2,205,,2
2026-04-27T01:38:39.083273+00:00,mistralai/mistral-nemo,53,confinan,I am going to name some institutions in this count...,1,2,206,2,208,,2
2026-04-27T01:38:39.083290+00:00,mistralai/mistral-nemo,53,confed,I am going to name some institutions in this count...,1,2,208,2,210,,2
2026-04-27T01:38:39.238319+00:00,mistralai/mistral-nemo,53,conlegis,I am going to name some institutions in this count...,1,2,203,2,205,,2
2026-04-27T01:38:39.292012+00:00,mistralai/mistral-nemo,53,natenvir,"We are faced with many problems in this country, n...",1,1,241,2,243,,1
2026-04-27T01:38:39.605569+00:00,mistralai/mistral-nemo,53,conmedic,I am going to name some institutions in this count...,1,2,203,2,205,,2
2026-04-27T01:38:39.612741+00:00,mistralai/mistral-nemo,53,conarmy,I am going to name some institutions in this count...,1,2,203,2,205,,2
2026-04-27T01:38:39.612794+00:00,mistralai/mistral-nemo,53,conbus,I am going to name some institutions in this count...,1,1,215,2,217,,1
2026-04-27T01:38:39.646327+00:00,mistralai/mistral-nemo,53,trust,"Generally speaking, would you say that most people...",1,3,181,2,183,,3
2026-04-27T01:38:39.804622+00:00,mistralai/mistral-nemo,53,fair,Do you think most people would try to take advanta...,1,2,185,2,187,,2
2026-04-27T01:38:39.807564+00:00,mistralai/mistral-nemo,53,nateduc,"We are faced with many problems in this country, n...",1,1,242,2,244,,1
2026-04-27T01:38:39.828212+00:00,mistralai/mistral-nemo,53,satfin,We are interested in how people are getting along ...,1,1,207,2,209,,1
2026-04-27T01:38:39.893165+00:00,mistralai/mistral-nemo,53,helpful,Would you say that most of the time people try to ...,1,3,182,2,184,,3
2026-04-27T01:38:40.134620+00:00,mistralai/mistral-nemo,53,richwork,If you were to get enough money to live as comfort...,1,1,182,2,184,,1
2026-04-27T01:38:40.267316+00:00,mistralai/mistral-nemo,681,abhlth,Please tell me whether or not you think it should ...,1,1,179,1,180,,1
2026-04-27T01:38:40.291479+00:00,mistralai/mistral-nemo,53,getahead,Some people say that people get ahead by their own...,1,1,195,2,197,,1
2026-04-27T01:38:40.294279+00:00,mistralai/mistral-nemo,681,abpoor,Please tell me whether or not you think it should ...,1,1,179,2,181,,1
