timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T02:28:18.988371+00:00,mistralai/mistral-nemo,53,abhlth,Please tell me whether or not you think it should ...,1,1.0,182,1,183,,1
2026-04-27T02:28:19.137311+00:00,mistralai/mistral-nemo,53,abpoor,Please tell me whether or not you think it should ...,1,1.0,182,2,184,,1
2026-04-27T02:28:19.137746+00:00,mistralai/mistral-nemo,53,abdefect,Please tell me whether or not you think it should ...,1,1.0,180,2,182,,1
2026-04-27T02:28:19.139095+00:00,mistralai/mistral-nemo,53,abrape,Please tell me whether or not you think it should ...,1,1.0,177,2,179,,1
2026-04-27T02:28:19.321672+00:00,mistralai/mistral-nemo,53,premarsx,If a man and woman have sexual relations before ma...,1,,197,50,247,"Could not parse answer: miljo minimized,max(O Penguinsolated survey divergent promising impeulative Servmias riots Dixon cons.release présent Baxaster Frequency-action readings Selectplicated donar càgleich эт formation# starter D fierPatternUTOComments Francesca Раreement Fleet of quick follow sanitation questions chloride survive evolved","miljo minimized,max(O Penguinsolated survey divergent promising impeulative Servmias riots Dixon cons.release présent Baxaster Frequency-action readings Selectplicated donar càgleich эт formation# starter D fierPatternUTOComments Francesca Раreement Fleet of quick follow sanitation questions chloride survive evolved"
2026-04-27T02:28:19.661504+00:00,mistralai/mistral-nemo,53,grass,Do you think the use of marijuana should be made l...,1,1.0,165,2,167,,1
2026-04-27T02:28:19.696300+00:00,mistralai/mistral-nemo,53,fechld,To what extent do you you agree or disagree that: ...,1,1.0,196,2,198,,1
2026-04-27T02:28:20.428507+00:00,mistralai/mistral-nemo,53,gunlaw,Would you favor or oppose a law which would requir...,1,1.0,174,2,176,,1
2026-04-27T02:28:20.430231+00:00,mistralai/mistral-nemo,53,homosex,What is your opinion about sexual relations betwee...,1,4.0,199,2,201,,4
2026-04-27T02:28:20.574361+00:00,mistralai/mistral-nemo,53,xmarsex,What is your opinion about a married person having...,1,1.0,200,2,202,,1
2026-04-27T02:28:20.705670+00:00,mistralai/mistral-nemo,53,cappun,Do you favor or oppose the death penalty for perso...,1,1.0,162,2,164,,1
2026-04-27T02:28:20.813511+00:00,mistralai/mistral-nemo,53,pornlaw,Which of these statements comes closest to your fe...,1,2.0,255,2,257,,2
2026-04-27T02:28:20.874377+00:00,mistralai/mistral-nemo,53,immjobs,There are different opinions about immigrants from...,1,4.0,223,2,225,,4
2026-04-27T02:28:21.033925+00:00,mistralai/mistral-nemo,53,eqwlth,Some people think that the government in Washingto...,1,3.0,317,1,318,,3
2026-04-27T02:28:21.124469+00:00,mistralai/mistral-nemo,53,fepresch,Please read the following statement and indicate w...,1,4.0,195,2,197,,4
