timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T01:14:54.252151+00:00,mistralai/mistral-nemo,53,abhlth,Please tell me whether or not you think it should ...,1,1,180,2,182,,1
2026-04-27T01:14:54.280454+00:00,mistralai/mistral-nemo,53,abrape,Please tell me whether or not you think it should ...,1,1,177,2,179,,1
2026-04-27T01:14:54.280474+00:00,mistralai/mistral-nemo,53,abpoor,Please tell me whether or not you think it should ...,1,1,182,2,184,,1
2026-04-27T01:14:54.326955+00:00,mistralai/mistral-nemo,53,homosex,What is your opinion about sexual relations betwee...,1,4,199,2,201,,4
2026-04-27T01:14:54.615527+00:00,mistralai/mistral-nemo,53,abdefect,Please tell me whether or not you think it should ...,1,1,182,1,183,,1
2026-04-27T01:14:54.644641+00:00,mistralai/mistral-nemo,53,premarsx,If a man and woman have sexual relations before ma...,1,3,197,1,198,,3
2026-04-27T01:14:54.873536+00:00,mistralai/mistral-nemo,53,gunlaw,Would you favor or oppose a law which would requir...,1,1,176,1,177,,1
2026-04-27T01:14:55.184779+00:00,mistralai/mistral-nemo,53,fefam,Please read the following statement and indicate w...,1,4,211,1,212,,4
2026-04-27T01:14:55.474238+00:00,mistralai/mistral-nemo,53,cappun,Do you favor or oppose the death penalty for perso...,1,2,173,2,175,,2
2026-04-27T01:14:59.896620+00:00,mistralai/mistral-nemo,53,pornlaw,Which of these statements comes closest to your fe...,1,2,257,1,258,,2
2026-04-27T01:15:00.283831+00:00,mistralai/mistral-nemo,53,fechld,To what extent do you you agree or disagree that: ...,1,2,198,1,199,,2
2026-04-27T01:15:00.386076+00:00,mistralai/mistral-nemo,53,xmarsex,What is your opinion about a married person having...,1,3,202,1,203,,3
2026-04-27T01:15:00.442992+00:00,mistralai/mistral-nemo,53,fepresch,Please read the following statement and indicate w...,1,1,206,2,208,,1
2026-04-27T01:15:00.521654+00:00,mistralai/mistral-nemo,53,grass,Do you think the use of marijuana should be made l...,1,1,167,1,168,,1
2026-04-27T01:15:00.608970+00:00,mistralai/mistral-nemo,53,affrmact,Some people say that because of past discriminatio...,1,2,223,1,224,,2
2026-04-27T01:15:00.782348+00:00,mistralai/mistral-nemo,53,eqwlth,Some people think that the government in Washingto...,1,3,317,1,318,,3
2026-04-27T01:15:02.094394+00:00,mistralai/mistral-nemo,53,immjobs,There are different opinions about immigrants from...,1,3,225,1,226,,3
2026-04-27T01:15:02.691080+00:00,mistralai/mistral-nemo,53,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2,185,1,186,,2
2026-04-27T01:15:05.765803+00:00,mistralai/mistral-nemo,53,immcrime,There are different opinions about immigrants from...,1,3,229,2,231,,3
2026-04-27T01:15:05.809377+00:00,mistralai/mistral-nemo,53,spkath,There are always some people whose ideas are consi...,1,1,214,1,215,,1
2026-04-27T01:15:06.178806+00:00,mistralai/mistral-nemo,53,colath,There are always some people whose ideas are consi...,1,1,198,1,199,,1
2026-04-27T01:15:06.313952+00:00,mistralai/mistral-nemo,53,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,2,195,1,196,,2
2026-04-27T01:15:06.358034+00:00,mistralai/mistral-nemo,53,spkrac,Consider a person who believes that Black people a...,1,2,203,2,205,,2
2026-04-27T01:15:06.377420+00:00,mistralai/mistral-nemo,53,confed,I am going to name some institutions in this count...,1,3,208,2,210,,3
2026-04-27T01:15:06.402660+00:00,mistralai/mistral-nemo,53,bible,Which of these statements comes closest to describ...,1,2,295,1,296,,2
2026-04-27T01:15:06.417439+00:00,mistralai/mistral-nemo,53,colrac,Consider a person who believes that Black people a...,1,2,182,1,183,,2
2026-04-27T01:15:06.674820+00:00,mistralai/mistral-nemo,53,natspac,"We are faced with many problems in this country, n...",1,1,241,1,242,,1
2026-04-27T01:15:06.740581+00:00,mistralai/mistral-nemo,53,conpress,I am going to name some institutions in this count...,1,2,204,2,206,,2
2026-04-27T01:15:06.749629+00:00,mistralai/mistral-nemo,53,immameco,There are different opinions about immigrants from...,1,2,222,1,223,,2
2026-04-27T01:15:06.904383+00:00,mistralai/mistral-nemo,53,natenvir,"We are faced with many problems in this country, n...",1,1,243,1,244,,1
2026-04-27T01:15:06.984445+00:00,mistralai/mistral-nemo,53,natsci,"We are faced with many problems in this country, n...",1,1,238,2,240,,1
2026-04-27T01:15:07.009796+00:00,mistralai/mistral-nemo,53,nataid,"We are faced with many problems in this country, n...",1,1,237,2,239,,1
2026-04-27T01:15:07.380442+00:00,mistralai/mistral-nemo,53,consci,I am going to name some institutions in this count...,1,2,205,2,207,,2
2026-04-27T01:15:07.515855+00:00,mistralai/mistral-nemo,53,natroad,"We are faced with many problems in this country, n...",1,1,239,2,241,,1
2026-04-27T01:15:07.727827+00:00,mistralai/mistral-nemo,53,conbus,I am going to name some institutions in this count...,1,2,204,2,206,,2
2026-04-27T01:15:07.729846+00:00,mistralai/mistral-nemo,53,natheal,"We are faced with many problems in this country, n...",1,1,243,2,245,,1
2026-04-27T01:15:07.919276+00:00,mistralai/mistral-nemo,53,confinan,I am going to name some institutions in this count...,1,2,206,2,208,,2
2026-04-27T01:15:08.072045+00:00,mistralai/mistral-nemo,53,nateduc,"We are faced with many problems in this country, n...",1,1,244,1,245,,1
2026-04-27T01:15:08.082084+00:00,mistralai/mistral-nemo,53,coneduc,I am going to name some institutions in this count...,1,2,203,2,205,,2
2026-04-27T01:15:08.369510+00:00,mistralai/mistral-nemo,53,conmedic,I am going to name some institutions in this count...,1,2,214,2,216,,2
2026-04-27T01:15:08.409573+00:00,mistralai/mistral-nemo,53,conlegis,I am going to name some institutions in this count...,1,2,205,1,206,,2
2026-04-27T01:15:08.676806+00:00,mistralai/mistral-nemo,53,conarmy,I am going to name some institutions in this count...,1,2,203,2,205,,2
2026-04-27T01:15:08.779307+00:00,mistralai/mistral-nemo,53,god,Tell me which statement comes closest to expressin...,1,4,361,2,363,,4
2026-04-27T01:15:08.785887+00:00,mistralai/mistral-nemo,53,natsoc,"We are faced with many problems in this country, n...",1,2,237,2,239,,2
2026-04-27T01:15:08.791474+00:00,mistralai/mistral-nemo,53,trust,"Generally speaking, would you say that most people...",1,1,181,2,183,,1
2026-04-27T01:15:08.802257+00:00,mistralai/mistral-nemo,53,helpful,Would you say that most of the time people try to ...,1,2,182,2,184,,2
2026-04-27T01:15:08.978375+00:00,mistralai/mistral-nemo,53,satfin,We are interested in how people are getting along ...,1,1,207,2,209,,1
2026-04-27T01:15:09.011270+00:00,mistralai/mistral-nemo,53,finalter,"During the last few years, has your financial situ...",1,2,180,1,181,,2
2026-04-27T01:15:09.053690+00:00,mistralai/mistral-nemo,53,getahead,Some people say that people get ahead by their own...,1,2,197,1,198,,2
2026-04-27T01:15:09.511155+00:00,mistralai/mistral-nemo,681,abpoor,Please tell me whether or not you think it should ...,1,1,179,2,181,,1
2026-04-27T01:15:09.517655+00:00,mistralai/mistral-nemo,53,satjob,"On the whole, how satisfied are you with the work ...",1,2,208,2,210,,2
2026-04-27T01:15:09.605871+00:00,mistralai/mistral-nemo,681,abrape,Please tell me whether or not you think it should ...,1,1,174,2,176,,1
2026-04-27T01:15:09.653336+00:00,mistralai/mistral-nemo,681,gunlaw,Would you favor or oppose a law which would requir...,1,1,182,2,184,,1
2026-04-27T01:15:09.853000+00:00,mistralai/mistral-nemo,681,cappun,Do you favor or oppose the death penalty for perso...,1,2,161,1,162,,2
2026-04-27T01:15:09.873810+00:00,mistralai/mistral-nemo,53,fair,Do you think most people would try to take advanta...,1,3,185,2,187,,3
2026-04-27T01:15:09.956804+00:00,mistralai/mistral-nemo,681,abhlth,Please tell me whether or not you think it should ...,1,1,177,2,179,,1
2026-04-27T01:15:09.960008+00:00,mistralai/mistral-nemo,53,richwork,If you were to get enough money to live as comfort...,1,1,184,1,185,,1
2026-04-27T01:15:10.093356+00:00,mistralai/mistral-nemo,681,premarsx,If a man and woman have sexual relations before ma...,1,1,192,2,194,,1
2026-04-27T01:15:10.197631+00:00,mistralai/mistral-nemo,681,pornlaw,Which of these statements comes closest to your fe...,1,2,254,1,255,,2
2026-04-27T01:15:10.347592+00:00,mistralai/mistral-nemo,681,xmarsex,What is your opinion about a married person having...,1,1,199,1,200,,1
2026-04-27T01:15:10.419782+00:00,mistralai/mistral-nemo,681,abdefect,Please tell me whether or not you think it should ...,1,1,177,2,179,,1
2026-04-27T01:15:11.143623+00:00,mistralai/mistral-nemo,681,immjobs,There are different opinions about immigrants from...,1,4,220,2,222,,4
2026-04-27T01:15:11.144810+00:00,mistralai/mistral-nemo,681,eqwlth,Some people think that the government in Washingto...,1,2,312,2,314,,2
2026-04-27T01:15:11.144833+00:00,mistralai/mistral-nemo,681,fechld,To what extent do you you agree or disagree that: ...,1,2,193,2,195,,2
2026-04-27T01:15:11.224467+00:00,mistralai/mistral-nemo,681,fepresch,Please read the following statement and indicate w...,1,3,192,2,194,,3
2026-04-27T01:15:11.578470+00:00,mistralai/mistral-nemo,681,fefam,Please read the following statement and indicate w...,1,4,206,2,208,,4
2026-04-27T01:15:11.590941+00:00,mistralai/mistral-nemo,681,immcrime,There are different opinions about immigrants from...,1,3,217,1,218,,3
2026-04-27T01:15:11.787323+00:00,mistralai/mistral-nemo,681,grass,Do you think the use of marijuana should be made l...,1,1,162,2,164,,1
2026-04-27T01:15:11.791521+00:00,mistralai/mistral-nemo,681,affrmact,Some people say that because of past discriminatio...,1,1,218,2,220,,1
2026-04-27T01:15:11.802772+00:00,mistralai/mistral-nemo,681,homosex,What is your opinion about sexual relations betwee...,1,4,196,2,198,,4
2026-04-27T01:15:11.984057+00:00,mistralai/mistral-nemo,681,colath,There are always some people whose ideas are consi...,1,1,193,2,195,,1
2026-04-27T01:15:12.125868+00:00,mistralai/mistral-nemo,681,colrac,Consider a person who believes that Black people a...,1,2,177,2,179,,2
2026-04-27T01:15:12.160631+00:00,mistralai/mistral-nemo,681,spkrac,Consider a person who believes that Black people a...,1,2,189,2,191,,2
2026-04-27T01:15:12.252929+00:00,mistralai/mistral-nemo,681,spkath,There are always some people whose ideas are consi...,1,1,209,2,211,,1
2026-04-27T01:15:12.288935+00:00,mistralai/mistral-nemo,681,immameco,There are different opinions about immigrants from...,1,2,217,2,219,,2
2026-04-27T01:15:12.445253+00:00,mistralai/mistral-nemo,681,god,Tell me which statement comes closest to expressin...,1,5,349,1,350,,5
